year,CO2,Other well mixed GHGs,Trop. O3,Strat. O3,Direct Sulphate Aerosol,Aerosol-Cloud Interactions,Biomass Burning Aerosol,Black & Organic Carbon Aerosol,Solar,Volcanic aerosols in Strat.
1938,0.58,0.25,0.14,0.0,-0.13,-0.2,-0.03,0.08,0.08,-0.08
1939,0.58,0.25,0.14,0.0,-0.13,-0.2,-0.03,0.08,0.09,-0.13
1940,0.59,0.26,0.14,0.0,-0.13,-0.2,-0.03,0.08,0.07,-0.08
1941,0.6,0.26,0.14,0.0,-0.13,-0.2,-0.03,0.08,0.06,-0.08
1942,0.6,0.26,0.15,0.0,-0.14,-0.2,-0.02,0.08,0.03,-0.08
1943,0.6,0.27,0.15,0.0,-0.14,-0.21,-0.02,0.08,-0.01,-0.15
1944,0.6,0.27,0.15,0.0,-0.14,-0.21,-0.02,0.08,-0.01,-0.08
1945,0.6,0.27,0.15,0.0,-0.15,-0.21,-0.02,0.08,0.02,-0.08
1946,0.6,0.28,0.15,-0.01,-0.15,-0.21,-0.02,0.08,0.03,-0.05
1947,0.6,0.28,0.16,-0.01,-0.15,-0.22,-0.01,0.07,0.09,-0.05
1948,0.6,0.28,0.16,-0.01,-0.16,-0.22,-0.01,0.07,0.15,-0.08
1949,0.6,0.29,0.16,-0.01,-0.16,-0.22,-0.01,0.07,0.12,-0.03
1950,0.6,0.29,0.16,-0.01,-0.17,-0.23,-0.01,0.07,0.11,-0.08
1951,0.61,0.3,0.17,-0.01,-0.17,-0.24,0.0,0.07,0.04,-0.05
1952,0.62,0.3,0.17,-0.01,-0.18,-0.25,0.02,0.07,0.05,-0.1
1953,0.62,0.31,0.18,-0.01,-0.18,-0.26,0.03,0.07,0.03,-0.08
1954,0.63,0.32,0.18,-0.01,-0.19,-0.26,0.03,0.07,0.0,-0.13
1955,0.64,0.32,0.19,-0.01,-0.19,-0.27,0.03,0.07,0.02,-0.05
1956,0.65,0.33,0.19,-0.01,-0.2,-0.27,0.04,0.07,0.06,-0.05
1957,0.66,0.34,0.2,-0.01,-0.21,-0.28,0.04,0.07,0.13,-0.03
1958,0.67,0.35,0.2,-0.01,-0.22,-0.28,0.04,0.07,0.19,0.0
1959,0.69,0.36,0.21,-0.01,-0.23,-0.29,0.04,0.08,0.16,0.0
1960,0.7,0.37,0.21,-0.01,-0.23,-0.29,0.03,0.08,0.15,0.0
1961,0.71,0.37,0.22,-0.01,-0.24,-0.3,0.04,0.08,0.11,-0.2
1962,0.72,0.38,0.22,-0.01,-0.25,-0.3,0.04,0.08,0.05,-0.25
1963,0.73,0.39,0.23,-0.01,-0.25,-0.31,0.04,0.08,0.04,-0.3
1964,0.74,0.4,0.23,-0.01,-0.26,-0.31,0.05,0.08,0.02,-2.0
1965,0.75,0.41,0.24,-0.01,-0.27,-0.32,0.05,0.09,0.01,-1.5
1966,0.76,0.42,0.24,-0.01,-0.27,-0.32,0.05,0.09,0.01,-0.83
1967,0.78,0.44,0.25,-0.01,-0.28,-0.33,0.05,0.09,0.06,-0.35
1968,0.79,0.45,0.25,-0.01,-0.29,-0.33,0.05,0.09,0.09,-0.38
1969,0.81,0.47,0.26,-0.01,-0.29,-0.34,0.04,0.1,0.08,-1.08
1970,0.83,0.48,0.26,-0.01,-0.3,-0.34,0.04,0.11,0.09,-0.6
1971,0.85,0.5,0.27,-0.02,-0.3,-0.34,0.03,0.12,0.08,-0.23
1972,0.87,0.52,0.28,-0.02,-0.31,-0.34,0.02,0.13,0.08,-0.1
1973,0.89,0.54,0.28,-0.02,-0.32,-0.35,0.02,0.13,0.04,-0.15
1974,0.9,0.56,0.29,-0.02,-0.33,-0.35,0.02,0.13,0.02,-0.25
1975,0.92,0.58,0.3,-0.02,-0.34,-0.35,0.01,0.13,0.01,-0.58
1976,0.94,0.6,0.3,-0.02,-0.34,-0.36,0.02,0.13,0.0,-0.53
1977,0.96,0.62,0.31,-0.02,-0.35,-0.37,0.02,0.13,0.04,-0.2
1978,0.99,0.64,0.32,-0.03,-0.36,-0.37,0.02,0.13,0.13,-0.08
1979,1.02,0.66,0.32,-0.03,-0.36,-0.37,0.02,0.14,0.17,-0.33
1980,1.05,0.68,0.33,-0.03,-0.37,-0.38,0.02,0.14,0.15,-0.13
1981,1.07,0.7,0.34,-0.03,-0.38,-0.38,0.02,0.13,0.15,-0.13
1982,1.09,0.72,0.34,-0.03,-0.38,-0.39,0.03,0.13,0.09,-0.15
1983,1.11,0.74,0.34,-0.04,-0.39,-0.4,0.04,0.13,0.09,-2.4
1984,1.14,0.76,0.35,-0.04,-0.4,-0.4,0.04,0.14,0.02,-1.13
1985,1.16,0.78,0.35,-0.04,-0.4,-0.41,0.04,0.15,0.01,-0.4
1986,1.18,0.8,0.36,-0.04,-0.41,-0.41,0.04,0.16,0.01,-0.38
1987,1.21,0.81,0.36,-0.04,-0.41,-0.42,0.03,0.16,0.02,-0.3
1988,1.24,0.83,0.37,-0.04,-0.42,-0.42,0.03,0.17,0.1,-0.23
1989,1.27,0.85,0.37,-0.05,-0.42,-0.42,0.03,0.17,0.15,-0.18
1990,1.29,0.87,0.37,-0.05,-0.42,-0.43,0.02,0.18,0.12,-0.15
1991,1.31,0.89,0.38,-0.05,-0.42,-0.43,0.03,0.17,0.13,-0.15
1992,1.32,0.9,0.38,-0.05,-0.42,-0.43,0.04,0.16,0.14,-3.7
1993,1.33,0.91,0.38,-0.05,-0.41,-0.43,0.04,0.16,0.06,-1.85
1994,1.35,0.92,0.38,-0.06,-0.4,-0.43,0.04,0.15,0.03,-0.73
1995,1.38,0.92,0.38,-0.06,-0.39,-0.43,0.04,0.15,0.02,-0.3
1996,1.4,0.93,0.38,-0.06,-0.39,-0.43,0.04,0.15,0.0,-0.18
1997,1.43,0.94,0.38,-0.06,-0.39,-0.44,0.04,0.15,0.02,-0.15
1998,1.46,0.94,0.39,-0.06,-0.39,-0.44,0.03,0.14,0.06,-0.1
1999,1.49,0.95,0.39,-0.06,-0.38,-0.44,0.03,0.14,0.1,-0.05
2000,1.51,0.96,0.39,-0.06,-0.38,-0.44,0.02,0.14,0.13,-0.05
